episode,global_step,rm_ready,rm_version,num_preferences,preference_sources,final_connected,final_num_components,final_largest_component_size,final_edge_count,final_inter_component_gap,final_coverage_score,final_overlap_ratio,became_connected,first_connected_step,lost_connectivity_events,actor_loss,critic_1_loss,critic_2_loss,mean_rm_reward,rm_loss,rm_pair_accuracy
0,3000,0,0,0,{},0,2,7,10,1156.8910518756297,0.8996658180627789,0.10033418193722114,0,-1,0,,,,,,
9,5000,1,9,40,"{""qwen"": 40}",0,2,3792.320330857992,474.040041357249,893.7953696274832,-1,-7.143966197967529,0.018254626542329788,0.017971592023968697,-0.11292432993650436,0.5250124979019165,0.7777777777777778
10,5500,1,10,44,"{""qwen"": 44}",0,2,3712.375056633657,464.04688207920714,869.933372708114,-1,-7.716268539428711,0.030975203961133957,0.027718672528862953,0.12169696390628815,0.5210273702939351,0.8275862068965517
11,6000,1,11,48,"{""qwen"": 48}",0,2,3421.085008652801,427.63562608160015,798.8118871078464,-1,-8.32333755493164,0.7660641074180603,0.7640067338943481,-0.09168483316898346,0.567189508676529,0.8
12,6500,1,12,52,"{""qwen"": 52}",0,2,3132.441301920603,391.5551627400754,744.0600171594477,-1,-8.916258811950684,0.014310875907540321,0.013917955569922924,0.0550699457526207,0.5585937643051148,0.7941176470588235
13,7000,1,13,56,"{""qwen"": 56}",0,3,2348.1500830424084,293.51876038030105,664.8266884153957,-1,-9.451372146606445,0.021487364545464516,0.02130477875471115,-0.21486985683441162,0.5406388835112254,0.7837837837837838
14,7500,1,14,60,"{""qwen"": 60}",0,3,1521.325996328644,190.1657495410805,574.4562646538029,-1,-10.1229248046875,0.009479074738919735,0.009821366518735886,-0.012704204767942429,0.5421205675601959,0.8536585365853658
15,8000,1,15,64,"{""qwen"": 64}",0,5,1160.637323517101,145.07966543963764,574.4562646538029,-1,-10.622478485107422,0.012872377410531044,0.013123434968292713,-0.07059953361749649,0.5384767587979634,0.8780487804878049
16,8500,1,16,68,"{""qwen"": 68}",0,4,1399.3475116579368,174.9184389572421,574.4562646538029,-1,-11.072395324707031,0.018843602389097214,0.01978405937552452,-0.12278412282466888,0.5454155878225962,0.8809523809523809
17,9000,1,17,72,"{""qwen"": 72}",0,3,1786.8910008047162,223.36137510058953,574.4562646538029,-1,-11.743449211120605,0.017764568328857422,0.017193466424942017,-0.1756206750869751,0.5565694077809652,0.8636363636363636
18,9500,1,18,76,"{""qwen"": 76}",0,3,1783.544749220869,222.94309365260864,574.4562646538029,-1,-12.562978744506836,0.00867429468780756,0.008823883719742298,0.17271971702575684,0.5541282113393148,0.8666666666666667
19,10000,1,19,80,"{""qwen"": 80}",0,2,1681.0523209115127,210.13154011393908,574.4562646538029,-1,-13.089850425720215,0.006046986673027277,0.006255466490983963,0.07294124364852905,0.551701854467392,0.851063829787234
20,10500,1,20,84,"{""qwen"": 84}",0,2,2236.1505352080785,279.5188169010098,574.4562646538029,-1,-13.528916358947754,0.008613387122750282,0.007597379852086306,-0.08928410708904266,0.5730896854400634,0.82
21,11000,1,21,88,"{""qwen"": 88}",0,3,1480.7606036417503,185.0950754552188,574.4562646538029,-1,-14.09954833984375,0.011474015191197395,0.011519920080900192,0.1639893501996994,0.5618804176648458,0.8867924528301887
22,11500,1,22,92,"{""qwen"": 92}",0,4,1466.5045379075736,183.3130672384467,574.4562646538029,-1,-14.700274467468262,0.008137415163218975,0.008120534010231495,-0.00019644200801849365,0.5555457401275635,0.8867924528301887
23,12000,1,23,96,"{""qwen"": 96}",0,4,1276.8238174828853,159.60297718536066,574.4562646538029,-1,-15.332351684570312,0.007566622458398342,0.010738019831478596,0.23284825682640076,0.5666607916355133,0.9090909090909091
24,12500,1,24,100,"{""qwen"": 100}",0,4,1310.5728231354965,163.82160289193706,545.0993347926778,-1,-15.435636520385742,0.03590149059891701,0.009444747120141983,-0.19908858835697174,0.5556729404131572,0.8727272727272727
